seqnames	start	end	width	strand	pvalue	qvalue	meth.diff
NW_024609835.1	33599449	33599449	1	*	2.7578680289952e-06	0.000172382910224124	31.0622710622711
NW_024609835.1	93976955	93976955	1	*	5.89892491482239e-09	9.66823236451224e-07	25.5485893416928
NW_024609835.1	93976978	93976978	1	*	4.4236710616646e-10	1.01480430759584e-07	26.681455190772
NW_024609835.1	93976990	93976990	1	*	5.51442507782662e-09	9.10978398601128e-07	26.5
NW_024609835.1	93976992	93976992	1	*	1.56354859504631e-10	4.01565606573672e-08	29.2905982905983
NW_024609836.1	5788074	5788074	1	*	5.78993932136277e-07	4.78588604754423e-05	28.7758478081059
NW_024609836.1	5788076	5788076	1	*	2.53290264823939e-06	0.00016075562990986	28.7713711029165
NW_024609836.1	5788080	5788080	1	*	1.36839540693171e-06	9.73950107754162e-05	28.5418168709445
NW_024609836.1	38160481	38160481	1	*	0.000108236990573061	0.00306285436327731	26.3098049505816
NW_024609836.1	38160491	38160491	1	*	5.02740768899221e-05	0.00171113872258941	27.7310924369748
NW_024609837.1	10297480	10297480	1	*	6.30373184691015e-07	5.13347873440598e-05	26.9393939393939
NW_024609837.1	10297490	10297490	1	*	1.01126800433297e-06	7.59623125920379e-05	26.525974025974
NW_024609837.1	10297518	10297518	1	*	2.40145226698281e-09	4.43561487476105e-07	26.2163133309378
NW_024609837.1	10297562	10297562	1	*	4.83686159638893e-10	1.09868753452566e-07	26.5818698347107
NW_024609837.1	66870887	66870887	1	*	9.72997389804423e-06	0.00047404330016158	28.1167108753316
NW_024609838.1	88924536	88924536	1	*	1.50299370340887e-05	0.000666971249738806	30.073571024335
NW_024609838.1	88937284	88937284	1	*	8.60591783189224e-07	6.66810545873264e-05	25.0822368421053
NW_024609838.1	88937387	88937387	1	*	1.04761512503243e-08	1.58892876706582e-06	30.632767289631
NW_024609839.1	668679	668679	1	*	1.36035352769825e-06	9.6918130753203e-05	30.9475975221832
NW_024609839.1	670909	670909	1	*	6.37315075720298e-07	5.17760633239004e-05	25.7432432432432
NW_024609839.1	678331	678331	1	*	1.07305413709534e-08	1.61859101372007e-06	28.4028776978417
NW_024609839.1	35459496	35459496	1	*	1.1053845182142e-09	2.25951491660905e-07	35.1007252215955
NW_024609839.1	39563994	39563994	1	*	1.28444191071841e-05	0.000589731579114741	26.0324535134759
NW_024609839.1	39564014	39564014	1	*	2.88457102201545e-06	0.000178774929349564	28.1609195402299
NW_024609839.1	57520570	57520570	1	*	9.81286676793125e-06	0.000477277048196999	27.0967741935484
NW_024609846.1	24883711	24883711	1	*	3.51367794454755e-06	0.000209929421169963	27.8976744186047
NW_024609846.1	52786792	52786792	1	*	1.27521240387963e-05	0.000586425864333846	26.7419467787115
NW_024609846.1	52786808	52786808	1	*	2.72733396760531e-05	0.00106539267812267	26.1060678451983
NW_024609846.1	52786819	52786819	1	*	7.48662754852467e-06	0.000384625934036344	28.1390977443609
NW_024609846.1	52786971	52786971	1	*	5.36160932608564e-06	0.000294588008451459	27.1330324521814
NW_024609846.1	151293677	151293677	1	*	2.07622752260748e-06	0.000137035361065586	25.7443272149155
NW_024609846.1	172472800	172472800	1	*	8.5372807394586e-16	6.34114391170756e-13	42.3538521099497
NW_024609846.1	175265368	175265368	1	*	6.42789774909902e-05	0.00206359324774779	27.4380541032053
NW_024609846.1	175265435	175265435	1	*	1.390155588998e-05	0.000628284511467472	25.6993006993007
NW_024609847.1	886364	886364	1	*	1.88768346357053e-10	4.74273630789259e-08	25.1562890722681
NW_024609849.1	93294	93294	1	*	1.40656768440501e-15	1.01221491809237e-12	47.0123765103382
NW_024609849.1	99962	99962	1	*	2.13557764699016e-55	5.50082403171739e-51	44.8236178019823
NW_024609849.1	99964	99964	1	*	2.18941427196873e-55	5.50082403171739e-51	43.0059303187546
NW_024609849.1	382331	382331	1	*	2.20433812690556e-12	8.80922216874937e-10	28.914871622943
NW_024609857.1	53182919	53182919	1	*	0.000105553884346087	0.00300473257639369	26.5354474211773
NW_024609857.1	53182958	53182958	1	*	2.83955677897429e-06	0.000176591176353488	28.0701754385965
NW_024609857.1	70858370	70858370	1	*	0.000182144277430511	0.00451971429281941	25.2925531914894
NW_024609857.1	71873024	71873024	1	*	1.62877115145364e-05	0.000709920467682415	29.4200056038106
NW_024609857.1	71873036	71873036	1	*	0.000190698483596841	0.00468340191881484	25.2673796791444
NW_024609857.1	97824775	97824775	1	*	2.41362405013218e-10	5.91247513538103e-08	38.8095238095238
NW_024609857.1	97824781	97824781	1	*	3.01276238983476e-10	7.23898112129943e-08	36.6959064327485
NW_024609857.1	97824798	97824798	1	*	1.57997157057955e-09	3.08034043494908e-07	35.8534322820037
NW_024609857.1	97824833	97824833	1	*	9.26421612794456e-07	7.08044010365262e-05	30.7045820861156
NW_024609857.1	97824839	97824839	1	*	9.32470995359303e-08	1.03723562242855e-05	33.8788537281
NW_024609857.1	166422007	166422007	1	*	1.85033304581089e-07	1.85022631840443e-05	27.3872679045093
NW_024609857.1	166422014	166422014	1	*	1.34940253226235e-06	9.6197229621269e-05	26.8047708725675
NW_024609868.1	16737128	16737128	1	*	5.21574128856753e-07	4.39056483123213e-05	27.4296304876636
NW_024609868.1	16737134	16737134	1	*	8.30652602398033e-08	9.43146987046403e-06	27.9346866725508
NW_024609868.1	16737149	16737149	1	*	7.25752523068132e-09	1.15375018247677e-06	29.0960451977401
NW_024609868.1	16737152	16737152	1	*	5.8592998478336e-07	4.83146985169537e-05	25.3676470588235
NW_024609868.1	16737156	16737156	1	*	1.47629799106663e-07	1.52913317638353e-05	26.8197278911565
NW_024609868.1	16737165	16737165	1	*	1.83126279984943e-06	0.000123765961270052	25.0900360144058
NW_024609868.1	98702981	98702981	1	*	2.07579633527986e-07	2.03483207624607e-05	30.2645161290323
NW_024609868.1	98702996	98702996	1	*	2.56991420676858e-06	0.000162604593921457	28.6129032258065
NW_024609868.1	98703018	98703018	1	*	5.74328035179276e-08	6.89130039996397e-06	32.520325203252
NW_024609868.1	98703028	98703028	1	*	1.06672654852645e-06	7.92932486289964e-05	29.5867768595041
NW_024609868.1	98703030	98703030	1	*	9.52519837303608e-06	0.000465834007546135	27.0299145299145
NW_024609868.1	98703033	98703033	1	*	1.95184904998442e-06	0.000130409122944965	29.1666666666667
NW_024609868.1	98703043	98703043	1	*	1.56506034051437e-06	0.000108924027713506	29.3679210814761
NW_024609868.1	98703046	98703046	1	*	5.93825766562424e-06	0.00032010458610467	27.8299031476998
NW_024609868.1	98703048	98703048	1	*	3.41601323794033e-08	4.42799502713725e-06	34.3035343035343
NW_024609868.1	98703053	98703053	1	*	4.73963657310024e-06	0.00026666668017098	28.4495021337127
NW_024609868.1	98703056	98703056	1	*	3.64405133649061e-06	0.000215977005023594	28.6825554452168
NW_024609868.1	98703063	98703063	1	*	4.33629839671062e-07	3.76869048004088e-05	31.8246944795617
NW_024609868.1	170118694	170118694	1	*	5.79104500840351e-26	1.64849846084866e-22	76.0611735330836
NW_024609868.1	172109734	172109734	1	*	6.88625452540867e-10	1.48647993294003e-07	42.2746371275783
NW_024609868.1	172393598	172393598	1	*	2.24338013957051e-08	3.08147041435658e-06	39.6404494382023
NW_024609868.1	172393623	172393623	1	*	4.66712261974379e-07	4.00560649982174e-05	36.1339600470035
NW_024609879.1	97130578	97130578	1	*	0.000167540090641423	0.00425096964706875	25.974025974026
NW_024609880.1	39478815	39478815	1	*	4.98927673523487e-05	0.0017011663417912	25.2147377938517
NW_024609880.1	108672640	108672640	1	*	3.83737379592755e-06	0.000225285032793983	30.3756201275691
NW_024609882.1	86336107	86336107	1	*	3.40544068824031e-06	0.000204626251330402	25.4429482636428
NW_024609883.1	8464399	8464399	1	*	1.47702536483003e-06	0.000103885555520503	34.8094373865699
NW_024609883.1	40412198	40412198	1	*	0.000218435779565035	0.00518448908768972	30.2773061686474
NW_024609883.1	65406257	65406257	1	*	3.62498404033455e-08	4.64881811830448e-06	25.0574712643678
NW_024609883.1	65407075	65407075	1	*	3.73534303822113e-05	0.0013575869335053	25.1268575570859
NW_024609883.1	67770919	67770919	1	*	1.01203524101086e-05	0.000489267490397508	32.3529411764706
NW_024609883.1	67770928	67770928	1	*	7.53750947967122e-07	5.97240570133829e-05	35.5665024630542
NW_024609883.1	67770931	67770931	1	*	8.29799381843265e-06	0.000417004437592685	31.6286983646848
NW_024609912.1	104168	104168	1	*	7.30734871490901e-07	5.81795707365035e-05	26.9886363636364
NW_024609912.1	104184	104184	1	*	4.87719029249342e-06	0.000272833078124124	25.6349206349206
NW_024609912.1	104220	104220	1	*	4.5018845952692e-09	7.65594186223141e-07	30.9490251350716
NW_024609912.1	104228	104228	1	*	6.93259988241788e-08	8.0866338017492e-06	28.8888888888889
NW_024609912.1	104242	104242	1	*	3.84212353349008e-08	4.87963762465818e-06	29.8005319148936
NW_024609912.1	104247	104247	1	*	4.75641298518706e-08	5.86675030318058e-06	29.9675167599696
NW_024609912.1	104261	104261	1	*	3.41573670079842e-10	8.07957585551119e-08	34.1958598726115
NW_024609912.1	104266	104266	1	*	6.28296223260789e-09	1.02101081050329e-06	31.6770186335404
NW_024609912.1	104279	104279	1	*	1.47909059873269e-11	4.8868905316619e-09	37.0309253147537
NW_024609912.1	104291	104291	1	*	5.67405848596688e-12	2.04565937532241e-09	36.4193404634581
NW_024609912.1	104294	104294	1	*	6.0062898388296e-09	9.81848568090052e-07	31.5
NW_024609912.1	104312	104312	1	*	1.42828841290074e-07	1.48606457364346e-05	29.6649029982363
NW_024609912.1	104315	104315	1	*	4.98834585086196e-08	6.10720082419089e-06	30.135886703744
NW_024609912.1	104320	104320	1	*	4.22481101896413e-08	5.29501270815722e-06	30.1449275362319
NW_024609912.1	104450	104450	1	*	0.000258418289927196	0.00588196454253699	25.7711687354062
NW_024609912.1	104481	104481	1	*	0.00016586763366319	0.00422134467575118	25.4807692307692
NW_024609912.1	104520	104520	1	*	8.87836982285064e-05	0.0026376607757774	25.0570551664437
NW_024609912.1	104523	104523	1	*	1.63790349971649e-06	0.00011300021916223	30.3342705404561
NW_024609912.1	104526	104526	1	*	9.0421449747356e-07	6.94557247915355e-05	31.030303030303
NW_024609912.1	104529	104529	1	*	5.74354629378065e-06	0.000311594001839137	28.0603060306031
NW_024609912.1	104531	104531	1	*	3.72737257525934e-05	0.00135577790991998	25.6259541984733
NW_024609912.1	104546	104546	1	*	3.76920241717485e-07	3.35020096024987e-05	31.6176470588235
NW_024609912.1	104549	104549	1	*	8.27624839308666e-06	0.000416128780250444	27.5381263616558
NW_024609912.1	104551	104551	1	*	1.03453367312662e-05	0.000497812078644435	28.9979409746054
NW_024609912.1	104600	104600	1	*	9.9624688559352e-07	7.5038825202682e-05	30.4511278195489
NW_024609912.1	104613	104613	1	*	4.00078017268136e-07	3.51836478839366e-05	31.7962231005709
NW_024609912.1	104724	104724	1	*	3.63679775011049e-05	0.00133036917971589	26.2443438914027
NW_024609914.1	147533	147533	1	*	2.60617655193708e-09	4.7674028389133e-07	25.2964771538193
NW_024609915.1	1110	1110	1	*	3.41404082112068e-09	6.02952441676326e-07	25.8612946686341
NW_024609915.1	1140	1140	1	*	2.45932768975324e-09	4.52888302842174e-07	28.5037878787879
NW_024609915.1	1150	1150	1	*	1.27421523754011e-13	6.59790781302131e-11	37.5715648854962
NW_024609915.1	1154	1154	1	*	4.47720219015251e-11	1.32338921003383e-08	33.3580735609434
NW_024609915.1	1160	1160	1	*	4.60213797998917e-07	3.95924093201788e-05	27.6816945200155
NW_024609955.1	1709886	1709886	1	*	6.8503654976446e-15	4.48820620813178e-12	44.8591954022988
NW_024609955.1	1709890	1709890	1	*	9.85425526515927e-17	8.63144816446236e-14	47.5896380168125
NW_024609955.1	1709897	1709897	1	*	8.06259093355046e-15	5.19710736433571e-12	43.5164835164835
NW_024609955.1	1709901	1709901	1	*	8.08482641159091e-15	5.2007947838507e-12	42.9618768328446
NW_024609955.1	1709903	1709903	1	*	4.40223248884565e-13	2.0432959150369e-10	39.6224955519455
NW_024609955.1	1709905	1709905	1	*	4.77714917105176e-19	6.04060233620375e-16	49.2044032385769
NW_024609955.1	1709912	1709912	1	*	2.37560390715538e-15	1.66802224926876e-12	43.8235743770066
NW_024609955.1	1709916	1709916	1	*	6.68101086229902e-18	7.08391463662483e-15	47.7147329791875
NW_024609955.1	1709926	1709926	1	*	5.72841582162383e-17	5.22123116107628e-14	46.4302094480966
NW_024609955.1	1709929	1709929	1	*	3.81456836491558e-18	4.26169316612846e-15	48.353893699078
NW_024609955.1	1709942	1709942	1	*	6.39293541012654e-18	6.84123014012061e-15	48.2485060787142
NW_024609955.1	1709952	1709952	1	*	3.46870457251437e-17	3.25397524183491e-14	47.0289855072464
NW_024609955.1	1709966	1709966	1	*	7.63007211985879e-18	8.04592033271729e-15	48.049719159559
NW_024609955.1	1709979	1709979	1	*	1.13577162976152e-18	1.35885003268086e-15	49.2565947242206
NW_024609980.1	3160	3160	1	*	6.13645059919424e-08	7.27992250651005e-06	25.1340996168582
NW_024609980.1	10991	10991	1	*	5.58586523861761e-22	1.0118762777082e-18	29.4180898165718
NW_024609980.1	47322	47322	1	*	4.45393112232908e-06	0.000253699194797756	25.5284552845529
NW_024609988.1	1029019	1029019	1	*	1.60713424075782e-19	2.18006879481828e-16	32.107587816159
NW_024610003.1	3779	3779	1	*	8.40253533483179e-18	8.74872988376241e-15	30.6422919508868
NW_024610003.1	4027	4027	1	*	5.29678379240987e-10	1.18407535557985e-07	29.1908604177664
NW_024610003.1	365183	365183	1	*	3.08452190918132e-12	1.18434710559396e-09	26.4463258439162
NW_024610003.1	365198	365198	1	*	7.76194034313742e-10	1.64238026715794e-07	25.8944281524927
NW_024610003.1	365290	365290	1	*	3.72964717880363e-11	1.13076536361909e-08	29.6757065121994
NW_024610003.1	371283	371283	1	*	7.53071573581544e-07	5.96784092137944e-05	26.1212740273006
NW_024610003.1	371290	371290	1	*	2.2611266656673e-06	0.000146861833112316	26.953601953602
NW_024610003.1	371775	371775	1	*	5.1305456165422e-11	1.49811586337167e-08	27.7412280701754
NW_024610003.1	386171	386171	1	*	6.75470982729757e-05	0.00214232801986884	29.3052475979305
NW_024610003.1	396069	396069	1	*	1.95275220348308e-34	1.20045787941783e-30	30.4785091151494
NW_024610003.1	396097	396097	1	*	1.05488896188255e-29	4.14683787827573e-26	33.2956273076088
NW_024610003.1	399516	399516	1	*	1.53562568290345e-11	5.05084688629306e-09	25.9961978603646
NW_024610003.1	423204	423204	1	*	1.03486104176087e-07	1.13195476181251e-05	27.6612903225806
NW_024610003.1	447267	447267	1	*	1.4693973138224e-10	3.80598712571718e-08	25.8145363408521
NW_024610003.1	447280	447280	1	*	1.89028076116577e-08	2.64807331519757e-06	27.2131478120589
NW_024610003.1	447295	447295	1	*	3.83378093007247e-15	2.60943958397081e-12	35.1407427899578
NW_024610003.1	447301	447301	1	*	1.24874180300996e-12	5.26719900169846e-10	36.9149977748109
NW_024610003.1	447315	447315	1	*	1.22587725146802e-13	6.37618002743765e-11	28.1783399084115
NW_024610003.1	447328	447328	1	*	4.24747133089699e-13	1.97463563937866e-10	34.1855891292687
NW_024610003.1	592187	592187	1	*	6.57938514724386e-09	1.06349856328783e-06	25.2336448598131
NW_024610003.1	592194	592194	1	*	4.28152827659847e-10	9.86504176011579e-08	31.1748381128585
NW_024610003.1	592229	592229	1	*	6.9185992750193e-10	1.49235830573267e-07	25.4013503375844
NW_024610004.1	9033	9033	1	*	2.7953174045854e-10	6.76432475235799e-08	30.9227091633466
NW_024610044.1	27649	27649	1	*	5.9097599453627e-06	0.000318875742952721	31.7435814104647
NW_024610044.1	30343	30343	1	*	2.63058651839258e-20	3.93815612114454e-17	34.1562608685896
NW_024610044.1	43977	43977	1	*	2.2335412850285e-10	5.50165838551495e-08	25.7732588940055
NW_024610056.1	30664	30664	1	*	2.3550296963818e-05	0.000949085124868654	25.974025974026
NW_024610056.1	875671	875671	1	*	1.10687704001423e-15	8.10681046290106e-13	32.1088231730351
NW_024610075.1	89195	89195	1	*	8.77258440848083e-11	2.41514250127718e-08	25.9790026246719
NW_024610075.1	108459	108459	1	*	5.17010223615349e-14	2.89218755617803e-11	33.8239538239538
NW_024610078.1	148621	148621	1	*	2.96510672468196e-12	1.14381598084305e-09	47.4737762237762
NW_024610078.1	201536	201536	1	*	6.34438595395899e-13	2.86198997912655e-10	42.2705314009662
NW_024610078.1	666584	666584	1	*	1.03589830467847e-05	0.00049830275562324	26.984126984127
NW_024610104.1	568589	568589	1	*	2.69852094207495e-34	1.60139049779856e-30	36.395839279485
NW_024610104.1	568591	568591	1	*	1.34772991084185e-26	4.07752979657145e-23	32.6133540372671
NW_024610104.1	569128	569128	1	*	5.18914470455407e-18	5.66849480769688e-15	46.4935064935065
NW_024610104.1	569745	569745	1	*	1.73793634737094e-14	1.05161830778438e-11	41.1354856512141
NW_024610104.1	576242	576242	1	*	6.11111839071587e-33	3.26982556856329e-29	32.6821789398715
NW_024610104.1	581270	581270	1	*	4.39227281333269e-11	1.30161438447753e-08	33.5193192913935
NW_024610104.1	596475	596475	1	*	5.80552738671528e-18	6.24733847151436e-15	38.4099616858238
NW_024610104.1	597379	597379	1	*	1.95008883591952e-16	1.61445750045372e-13	41.2333815979992
NW_024610104.1	602534	602534	1	*	6.38537090556282e-09	1.03552517740347e-06	28.3660299432112
NW_024610104.1	603460	603460	1	*	1.85015241495592e-32	9.46142839695453e-29	42.1125903213807
NW_024610104.1	604220	604220	1	*	6.83920274750372e-15	4.48597876771565e-12	32.32644409115
NW_024610104.1	615040	615040	1	*	2.97208336402168e-17	2.83410545647304e-14	42.4242424242424
NW_024610104.1	616483	616483	1	*	1.39435235685774e-30	6.15076143981827e-27	41.4450549450549
NW_024610104.1	626095	626095	1	*	5.4703595360905e-22	9.97204552236226e-19	41.5656773133409
NW_024610104.1	692371	692371	1	*	4.89963835042075e-23	1.03333492022986e-19	37.8276854219949
NW_024610104.1	693783	693783	1	*	7.27640730960864e-31	3.23445633639425e-27	37.8095970300773
NW_024610104.1	704605	704605	1	*	3.17974783814608e-06	0.000193846427267646	25.3012048192771
NW_024610104.1	705026	705026	1	*	9.32377277973437e-21	1.4813561388242e-17	44.0620537089412
NW_024610104.1	705048	705048	1	*	2.10875099959381e-25	5.72101836133932e-22	32.6115288220551
NW_024610104.1	708004	708004	1	*	2.14872793458153e-13	1.05945243099845e-10	32.6101349630761
NW_024610104.1	717509	717509	1	*	2.69487892320226e-12	1.05079669394139e-09	32.0263788968825
NW_024610104.1	720206	720206	1	*	1.04232548131845e-40	1.07558062762719e-36	26.896049763451
NW_024610104.1	720208	720208	1	*	1.30680333846787e-35	9.43947611486627e-32	29.6026172641341
NW_024610104.1	720444	720444	1	*	3.80945583015171e-18	4.26169316612846e-15	51.4855803303713
NW_024610104.1	745649	745649	1	*	5.67985033359371e-19	7.13520908573774e-16	27.8183230941281
NW_024610104.1	746487	746487	1	*	2.52805564035725e-26	7.49168762072364e-23	53.141256502601
NW_024610104.1	754333	754333	1	*	4.52991201215542e-31	2.12819931281102e-27	34.0287083805793
NW_024610104.1	755181	755181	1	*	2.46976664038715e-14	1.45483773284919e-11	29.8965291421087
NW_024610104.1	755302	755302	1	*	2.96438218437562e-10	7.13460079804745e-08	31.820204717401
NW_024610104.1	755313	755313	1	*	3.7321154465176e-06	0.00022042775068421	25.1168674036188
NW_024610104.1	755338	755338	1	*	8.81529721492092e-10	1.84367224656616e-07	25.9747577191796
NW_024610108.1	2305704	2305704	1	*	9.35877241559706e-07	7.13755129984562e-05	26.5705838876571
NW_024610108.1	2305722	2305722	1	*	4.92058696960726e-07	4.18214912512191e-05	28.644572705269
NW_024610108.1	2305728	2305728	1	*	6.47787887042328e-05	0.00207491284846845	25.9216589861751
NW_024610108.1	2305736	2305736	1	*	5.00344377738869e-05	0.00170489025148516	26.2072829131653
NW_024610108.1	2305740	2305740	1	*	0.000469360536431389	0.00909214604446668	25.4631268436578
NW_024610114.1	351228	351228	1	*	3.943980974076e-11	1.18517687929592e-08	29.2808401748587
NW_024610114.1	355094	355094	1	*	8.25599934255633e-23	1.66813525177805e-19	34.2526497945057
NW_024610114.1	358754	358754	1	*	1.19554740015897e-09	2.41900206922921e-07	34.2829457364341
NW_024610114.1	358893	358893	1	*	1.39113961432098e-10	3.62931472593959e-08	31.5262321144674
NW_024610114.1	360423	360423	1	*	1.05240999555751e-21	1.84848831641186e-18	40.6746031746032
NW_024610114.1	368353	368353	1	*	8.00592754029412e-07	6.27387938877765e-05	27.4107142857143
NW_024610150.1	15328	15328	1	*	3.48270404247431e-25	9.18967386306464e-22	45.9768359979933
NW_024610151.1	7097	7097	1	*	3.24715888191444e-22	6.21332741466544e-19	26.5995489786568
NW_024610165.1	31400	31400	1	*	1.70842182197017e-08	2.42684371564036e-06	26.3944343617665
NW_024610171.1	213	213	1	*	1.27180007067433e-09	2.55272965441822e-07	25.6116249794757
NW_024610171.1	113590	113590	1	*	1.97443665745004e-08	2.75195641530423e-06	26.8426404916656
NW_024610171.1	122484	122484	1	*	8.10534467437152e-07	6.34232702662626e-05	28.2864523536165
NW_024610186.1	35977	35977	1	*	8.18677550029159e-10	1.72722331840155e-07	27.1957611011922
NW_024610186.1	100053	100053	1	*	1.3235403554199e-12	5.56644725899062e-10	29.9155145929339
NW_024610186.1	108263	108263	1	*	1.90444009588852e-07	1.89449552431993e-05	29.3379994167396
