seqnames	start	end	width	strand	pvalue	qvalue	meth.diff
NW_024609835.1	5188820	5188820	1	*	3.80033142169386e-07	3.37029596513633e-05	-25.0811688311688
NW_024609835.1	5188842	5188842	1	*	6.17938183881972e-11	1.77654665933298e-08	-28.3694246929541
NW_024609835.1	5188846	5188846	1	*	4.54386755617469e-10	1.03866677154331e-07	-28.3227344992051
NW_024609835.1	5188857	5188857	1	*	9.27303070410297e-10	1.92823869840865e-07	-26.7539552645936
NW_024609835.1	5188876	5188876	1	*	2.877680546833e-09	5.20311534834136e-07	-25.5821099351314
NW_024609835.1	5188884	5188884	1	*	1.00314863455886e-08	1.53032248580714e-06	-25.344462109168
NW_024609835.1	5188914	5188914	1	*	2.1241174667227e-09	3.99468239509556e-07	-26.5594978865121
NW_024609835.1	5188974	5188974	1	*	1.13556634494514e-06	8.34442953372708e-05	-25.1121835577005
NW_024609835.1	5188976	5188976	1	*	2.78078333489273e-07	2.60272432208727e-05	-26.3296903460838
NW_024609835.1	5188981	5188981	1	*	7.81150988551173e-08	8.93863599836512e-06	-29.1868131868132
NW_024609835.1	5188984	5188984	1	*	1.2799351988334e-06	9.19482703753354e-05	-26.1904761904762
NW_024609835.1	5188990	5188990	1	*	1.74190319084334e-06	0.000118855566247334	-27.0639834881321
NW_024609835.1	5189000	5189000	1	*	3.25146939929325e-07	2.96265497246652e-05	-31.942601194426
NW_024609835.1	5189008	5189008	1	*	2.12335579122455e-08	2.93685144380636e-06	-34.9474789915966
NW_024609835.1	5189013	5189013	1	*	5.21806262632215e-09	8.70608337028761e-07	-36.7456073338426
NW_024609835.1	5189015	5189015	1	*	9.50595359257967e-07	7.22690924356275e-05	-32.0786142571619
NW_024609835.1	8763673	8763673	1	*	3.24320369817608e-06	0.000197008231933777	-27.3225806451613
NW_024609835.1	8763687	8763687	1	*	3.19645512483551e-06	0.000194659591963145	-26.3185262219581
NW_024609835.1	8763702	8763702	1	*	3.01110838556899e-08	3.97264649712512e-06	-31.2253743104807
NW_024609835.1	8763710	8763710	1	*	3.12658501943525e-07	2.87013385739632e-05	-29.0956749672346
NW_024609835.1	8763718	8763718	1	*	1.14349263771901e-06	8.39306844807009e-05	-27.4979716657305
NW_024609835.1	8763728	8763728	1	*	1.49581106916532e-07	1.54506451654341e-05	-28.6777099680325
NW_024609835.1	8763736	8763736	1	*	5.07587991807145e-08	6.19599030134395e-06	-30.1298701298701
NW_024609835.1	8763744	8763744	1	*	2.5593226787926e-07	2.4278146241178e-05	-28.116576819407
NW_024609835.1	8763746	8763746	1	*	1.57000722574273e-07	1.61117890637992e-05	-28.5824514991182
NW_024609835.1	8763751	8763751	1	*	1.00857317718392e-07	1.10739277976189e-05	-29.1694133157548
NW_024609835.1	8763756	8763756	1	*	1.76510578686201e-07	1.77483173371845e-05	-28.0542264752791
NW_024609835.1	8763762	8763762	1	*	3.28341885052874e-08	4.28398804792401e-06	-29.9466056445461
NW_024609835.1	33026441	33026441	1	*	3.44455764450048e-10	8.13775569979018e-08	-32.6992753623188
NW_024609835.1	33026466	33026466	1	*	8.54556311828457e-07	6.62934095039968e-05	-26.7590269444748
NW_024609835.1	36454128	36454128	1	*	1.02868016020426e-06	7.69800537740701e-05	-25.1710966098997
NW_024609835.1	57368538	57368538	1	*	1.58287736893479e-26	4.76402119233567e-23	-64.5673196131912
NW_024609835.1	57368550	57368550	1	*	5.42100590426555e-30	2.19064238592885e-26	-67.8067447978952
NW_024609835.1	57368567	57368567	1	*	7.40780538651081e-27	2.28915711551786e-23	-63.9776733254994
NW_024609835.1	57368600	57368600	1	*	2.91084838787471e-21	4.9040298981726e-18	-56.9271445358402
NW_024609835.1	57368602	57368602	1	*	3.42779050263881e-18	3.86122002298547e-15	-51.8037602820212
NW_024609835.1	57368615	57368615	1	*	3.90690486638156e-26	1.12321895130333e-22	-63.2079905992949
NW_024609835.1	57368624	57368624	1	*	5.02577315060852e-28	1.71847738341123e-24	-65.8260233918129
NW_024609835.1	57368636	57368636	1	*	3.14959294884004e-29	1.19739788072568e-25	-67.0029085958289
NW_024609835.1	57368639	57368639	1	*	1.79149124623327e-30	7.72569458823383e-27	-68.9392995138975
NW_024609835.1	57368646	57368646	1	*	1.96574479022135e-30	8.41435844031539e-27	-68.9519359145527
NW_024609835.1	57368649	57368649	1	*	9.11154737966884e-29	3.35366847927684e-25	-68.5521317011397
NW_024609835.1	70771557	70771557	1	*	9.49780535354519e-07	7.22261497605209e-05	-27.3333333333333
NW_024609835.1	70771677	70771677	1	*	6.5644334937101e-08	7.71793957592123e-06	-29.2677619410293
NW_024609835.1	87226467	87226467	1	*	1.30283048628256e-09	2.60957473254703e-07	-40.6827880512091
NW_024609835.1	87226470	87226470	1	*	2.54817987664101e-09	4.67462924248134e-07	-40.9824561403509
NW_024609835.1	87226477	87226477	1	*	2.29113979575882e-06	0.00014838736986407	-32.4224021592443
NW_024609835.1	87226498	87226498	1	*	4.42927634363183e-07	3.83737804563726e-05	-32.8074788197488
NW_024609835.1	87226511	87226511	1	*	2.58178539703195e-08	3.48662706574323e-06	-36.2897398843931
NW_024609835.1	87226558	87226558	1	*	4.30455117732707e-05	0.00151720441618669	-26.618174151381
NW_024609835.1	98861015	98861015	1	*	9.78269912989813e-06	0.000476090259154214	-29.5719178082192
NW_024609835.1	98861017	98861017	1	*	9.4469754737479e-07	7.19058512525878e-05	-32.2114567397586
NW_024609835.1	98861020	98861020	1	*	2.18339900392461e-05	0.00089451506869992	-25.6543209876543
NW_024609835.1	98861023	98861023	1	*	5.57061737958778e-07	4.63242782618765e-05	-33.131742399477
NW_024609835.1	98861029	98861029	1	*	7.13137317850704e-05	0.00223529119517246	-25.2611585944919
NW_024609835.1	98861042	98861042	1	*	9.87035227025383e-07	7.44549708914639e-05	-30.0369822485207
NW_024609835.1	105411982	105411982	1	*	6.5864811141784e-06	0.000347304305731657	-30.3731911652704
NW_024609835.1	105411993	105411993	1	*	4.27253739579223e-06	0.000245423155379239	-32.1997549019608
NW_024609835.1	105412010	105412010	1	*	4.52225653645936e-06	0.000256882071221401	-32.4532453245325
NW_024609835.1	105412019	105412019	1	*	3.23341224536452e-07	2.95130236931832e-05	-34.7617574257426
NW_024609835.1	114369358	114369358	1	*	2.16540102700691e-10	5.35206618251952e-08	-43.2239819004525
NW_024609835.1	116735013	116735013	1	*	3.88442439614012e-08	4.92470245220748e-06	-38.5192127460169
NW_024609835.1	116735021	116735021	1	*	5.71523186326115e-09	9.4037986426254e-07	-40.0909090909091
NW_024609835.1	124703897	124703897	1	*	8.83775011284711e-08	9.92429304031077e-06	-25.1700680272109
NW_024609835.1	124703903	124703903	1	*	1.12871635531102e-07	1.21847105894961e-05	-25.1097542514003
NW_024609835.1	124703929	124703929	1	*	9.00584123700656e-08	1.00817037120461e-05	-25.5753405551165
NW_024609835.1	124703934	124703934	1	*	1.38457239559289e-10	3.61708062839036e-08	-29.5359052711994
NW_024609835.1	124703936	124703936	1	*	1.94642913951888e-10	4.87760849417453e-08	-30.7416267942584
NW_024609835.1	124703968	124703968	1	*	8.75550192391889e-08	9.84532537802803e-06	-28.2786612549072
NW_024609835.1	124703972	124703972	1	*	2.4644650208812e-07	2.34734166265571e-05	-27.1328671328671
NW_024609835.1	136967306	136967306	1	*	7.1426892882317e-06	0.000370613455151851	-29.0568654646325
NW_024609835.1	136967346	136967346	1	*	4.76616967601442e-12	1.75315759608288e-09	-29.9929527836505
NW_024609835.1	136967355	136967355	1	*	1.62450807920605e-08	2.32076407590574e-06	-26.1270624918799
NW_024609835.1	136967361	136967361	1	*	7.79541147400465e-15	5.04446634241676e-12	-33.3565922381712
NW_024609835.1	136967364	136967364	1	*	1.44436694235892e-08	2.09553479895676e-06	-25.6483516483516
NW_024609835.1	136967416	136967416	1	*	5.58607143103988e-10	1.23915718910438e-07	-27.3876404494382
NW_024609835.1	138731907	138731907	1	*	8.75547781283493e-07	6.76765486727781e-05	-26.8947470440008
NW_024609835.1	138731908	138731908	1	*	6.71061769841021e-11	1.90744824429644e-08	-31.4339842611484
NW_024609835.1	138731926	138731926	1	*	1.6629739556328e-05	0.000721996406081899	-25.0360490266763
NW_024609835.1	138731941	138731941	1	*	8.52155522792022e-10	1.78806198779019e-07	-32.6159179546439
NW_024609835.1	138731942	138731942	1	*	8.64595695973063e-09	1.34234560141403e-06	-30.766081871345
NW_024609835.1	138731947	138731947	1	*	2.94306363846884e-10	7.092153355087e-08	-32.7506775067751
NW_024609835.1	138731948	138731948	1	*	1.75775831938603e-09	3.3880918640067e-07	-30.7699965158529
NW_024609835.1	138731956	138731956	1	*	1.87236601864124e-08	2.62679754788093e-06	-29.3606138107417
NW_024609835.1	138731957	138731957	1	*	9.00407388519572e-09	1.39010263490741e-06	-29.3673012318029
NW_024609835.1	138731962	138731962	1	*	6.34497680698493e-09	1.02964071820548e-06	-30.422619047619
NW_024609835.1	138731963	138731963	1	*	4.05002204606875e-13	1.88587650256911e-10	-35.6963838166846
